type,beds,bath,propertysqft,locality,sublocality,label
Condo_for_sale,2,2,1248,Richmond_County,Staten_Island,0
Contingent,3,2,1288,New_York,Richmond_County,0
Co_op_for_sale,3,2,1400,Queens_County,Queens,0
Condo_for_sale,1,1,613,New_York,Bronx_County,0
Co_op_for_sale,1,1,850,Bronx_County,The_Bronx,0
Condo_for_sale,3,2,1546,New_York_County,New_York,1
Co_op_for_sale,1,1,620,New_York_County,New_York,0
Co_op_for_sale,1,1,590,Queens_County,Queens,0
Co_op_for_sale,1,1,615,New_York_County,New_York,0
House_for_sale,2,2,1444,New_York,Richmond_County,1
Condo_for_sale,2,2,936,Bronx_County,The_Bronx,0
Co_op_for_sale,2,1,700,Kings_County,Brooklyn,0
Condo_for_sale,2,1,1000,Bronx_County,The_Bronx,0
Co_op_for_sale,1,1,800,Queens_County,Queens,0
Multi_family_home_for_sale,6,2,2310,New_York,Bronx_County,0
Condo_for_sale,1,2,890,New_York_County,New_York,1
Townhouse_for_sale,5,4,4050,New_York,Kings_County,1
Co_op_for_sale,2,1,800,Kings_County,Brooklyn,0
Co_op_for_sale,3,1,550,New_York_County,New_York,0
Condo_for_sale,1,2,890,New_York_County,New_York,1
Townhouse_for_sale,5,4,4050,New_York,Kings_County,1
Co_op_for_sale,2,1,800,Kings_County,Brooklyn,0
Co_op_for_sale,2,1,900,Kings_County,Brooklyn,0
Multi_family_home_for_sale,3,3,3978,New_York,Kings_County,1
Multi_family_home_for_sale,8,2,2160,New_York,Bronx_County,0
Multi_family_home_for_sale,8,3,2860,New_York,Kings_County,0
Condo_for_sale,1,1,800,New_York_County,New_York,1
Condo_for_sale,1,2,920,New_York_County,New_York,1
Condo_for_sale,3,2,1437,New_York_County,New_York,0
Multi_family_home_for_sale,6,3,3000,New_York,Kings_County,1
Multi_family_home_for_sale,4,4,2945,New_York,Richmond_County,0
Multi_family_home_for_sale,3,5,2560,New_York,Kings_County,1
Multi_family_home_for_sale,5,2,1893,New_York,Queens_County,0
For_sale,3,1,1100,New_York_County,New_York,0
Condo_for_sale,1,1,726,New_York_County,New_York,1
Multi_family_home_for_sale,4,3,1176,United_States,New_York,0
House_for_sale,7,6,10000,New_York,Richmond_County,1
Multi_family_home_for_sale,10,5,3383,New_York,Kings_County,1
House_for_sale,5,3,1800,New_York,Kings_County,0
House_for_sale,5,3,5600,New_York,Richmond_County,1
House_for_sale,4,4,2755,New_York,Richmond_County,1
Multi_family_home_for_sale,5,3,2324,New_York,Kings_County,0
House_for_sale,3,4,2205,New_York,Richmond_County,0
Co_op_for_sale,1,1,750,Kings_County,Brooklyn,0
Multi_family_home_for_sale,8,3,3135,New_York,Kings_County,1
Condo_for_sale,2,2,1005,New_York_County,New_York,0
Co_op_for_sale,1,1,750,Kings_County,Brooklyn,0
Multi_family_home_for_sale,4,2,2342,New_York,Richmond_County,0
Multi_family_home_for_sale,5,3,1574,New_York,Queens_County,0
Multi_family_home_for_sale,6,3,2860,New_York,Bronx_County,0
Condo_for_sale,1,2,1144,New_York,New_York_County,1
Multi_family_home_for_sale,5,2,1908,New_York,Bronx_County,0
Condo_for_sale,4,4,3809,New_York,New_York_County,1
For_sale,3,1,585,New_York_County,New_York,0
Co_op_for_sale,3,1,250,New_York_County,New_York,0
Multi_family_home_for_sale,7,5,2680,New_York,Bronx_County,0
Multi_family_home_for_sale,7,2,2296,New_York,Bronx_County,0
Multi_family_home_for_sale,7,2,2296,New_York,Bronx_County,0
House_for_sale,2,1,1380,New_York,Queens_County,0
Multi_family_home_for_sale,5,4,1340,New_York,Kings_County,1
Townhouse_for_sale,4,2,1440,New_York,New_York_County,0
For_sale,3,3,3000,New_York_County,New_York,1
Pending,3,2,1606,New_York,Queens_County,0
House_for_sale,3,2,1470,New_York,Richmond_County,0
Townhouse_for_sale,4,4,4600,New_York,Kings_County,1
Condo_for_sale,2,2,1123,New_York_County,New_York,1
Co_op_for_sale,2,1,950,Queens_County,Queens,0
Condo_for_sale,1,1,679,New_York,Manhattan,0
House_for_sale,4,1,1040,New_York,Richmond_County,0
House_for_sale,3,4,2193,New_York_County,New_York,1
Pending,3,2,2242,New_York,Richmond_County,0
Co_op_for_sale,2,2,1150,New_York,Bronx_County,0
Condo_for_sale,1,1,666,Kings_County,Brooklyn,0
Condo_for_sale,1,1,616,Kings_County,Brooklyn,0
Foreclosure,6,2,3100,New_York,Richmond_County,0
Condo_for_sale,2,2,1002,Kings_County,Brooklyn,1
Condo_for_sale,2,2,882,Kings_County,Brooklyn,1
Foreclosure,4,6,4531,New_York_County,New_York,1
Co_op_for_sale,3,1,656,Bronx_County,The_Bronx,0
House_for_sale,3,1,952,United_States,New_York,0
Multi_family_home_for_sale,5,3,2400,New_York,Bronx_County,0
Co_op_for_sale,2,1,1453,Queens_County,Queens,0
Contingent,3,2,1430,New_York,Richmond_County,0
Co_op_for_sale,3,1,1200,Kings_County,Brooklyn,0
Condo_for_sale,2,1,860,Richmond_County,Staten_Island,0
Co_op_for_sale,3,1,960,New_York,Queens_County,0
House_for_sale,4,4,3300,New_York,Richmond_County,1
House_for_sale,3,2,960,New_York,Richmond_County,0
Co_op_for_sale,1,1,650,Bronx_County,The_Bronx,0
House_for_sale,4,2,1728,New_York,Bronx_County,0
Co_op_for_sale,2,1,1100,Bronx_County,The_Bronx,0
For_sale,1,2,900,New_York_County,New_York,0
House_for_sale,2,1,1744,New_York,Bronx_County,0
Pending,3,2,1620,New_York,Richmond_County,0
Co_op_for_sale,3,1,400,New_York_County,New_York,0
House_for_sale,5,2,1760,New_York,Queens_County,1
Multi_family_home_for_sale,6,5,2400,New_York,Queens_County,1
House_for_sale,3,1,1404,New_York,Richmond_County,0
Townhouse_for_sale,3,2,980,New_York,Richmond_County,0
Land_for_sale,3,2,950,New_York,Queens_County,0
House_for_sale,7,4,3632,New_York,New_York_County,1
House_for_sale,3,4,3000,New_York,Richmond_County,1
Co_op_for_sale,3,2,1400,Queens_County,Queens,0
House_for_sale,4,2,2000,New_York,Kings_County,0
Condo_for_sale,4,4,2888,New_York_County,New_York,1
Townhouse_for_sale,4,4,4080,New_York,Queens_County,1
Co_op_for_sale,2,2,747,New_York,Bronx_County,0
House_for_sale,2,1,1104,New_York,Bronx_County,0
Multi_family_home_for_sale,6,3,2100,New_York,Richmond_County,0
Co_op_for_sale,2,1,900,Bronx_County,The_Bronx,0
House_for_sale,4,2,1682,New_York,Queens_County,0
Condo_for_sale,1,1,730,Richmond_County,Staten_Island,0
Multi_family_home_for_sale,3,3,1575,New_York,Richmond_County,0
House_for_sale,3,2,1824,New_York,Kings_County,0
Condo_for_sale,3,2,1092,New_York,Richmond_County,0
House_for_sale,3,2,2000,New_York,Richmond_County,0
Contingent,2,1,978,New_York,Richmond_County,0
Multi_family_home_for_sale,5,2,1750,New_York,Kings_County,0
Co_op_for_sale,2,1,1010,New_York,Bronx_County,0
House_for_sale,3,2,1144,New_York,Queens_County,0
Contingent,3,2,2310,New_York,Richmond_County,0
Condo_for_sale,2,1,850,New_York,Richmond_County,0
House_for_sale,3,2,1881,New_York,Kings_County,0
House_for_sale,4,2,1580,New_York,Kings_County,1
House_for_sale,3,2,1400,New_York,Bronx_County,0
Contingent,3,2,1495,New_York,Richmond_County,0
House_for_sale,4,2,1500,New_York,Bronx_County,0
Condo_for_sale,3,1,540,Kings_County,Brooklyn,0
Multi_family_home_for_sale,4,4,2280,New_York,Richmond_County,1
Condo_for_sale,2,2,1242,New_York_County,New_York,1
House_for_sale,3,3,2256,New_York,Kings_County,0
House_for_sale,3,2,1590,New_York,Queens_County,1
House_for_sale,3,2,1344,New_York,Kings_County,0
Multi_family_home_for_sale,15,6,4920,New_York,Kings_County,1
Condo_for_sale,2,2,1300,Queens_County,Queens,0
House_for_sale,2,1,660,New_York,Richmond_County,0
House_for_sale,2,1,900,New_York,Queens_County,0
Multi_family_home_for_sale,4,2,2180,New_York,Bronx_County,0
House_for_sale,2,2,1214,New_York,Queens_County,0
House_for_sale,3,2,1360,New_York,Richmond_County,0
Multi_family_home_for_sale,4,3,2440,New_York,Queens_County,1
House_for_sale,3,1,1376,New_York,Kings_County,0
Townhouse_for_sale,3,4,1751,New_York,Queens_County,1
House_for_sale,3,2,1748,New_York,Queens_County,0
Pending,3,1,500,Queens_County,Queens,0
Condo_for_sale,3,1,500,New_York_County,New_York,0
Co_op_for_sale,1,1,1078,Bronx_County,The_Bronx,0
Co_op_for_sale,3,2,1100,Bronx_County,The_Bronx,0
Multi_family_home_for_sale,4,3,2049,New_York,Richmond_County,0
House_for_sale,6,4,2112,New_York,Queens_County,1
Multi_family_home_for_sale,5,2,2288,New_York,Richmond_County,0
Condo_for_sale,5,4,4105,New_York,New_York_County,1
Condo_for_sale,5,4,4105,New_York,New_York_County,1
Multi_family_home_for_sale,5,3,1738,New_York,Queens_County,0
Multi_family_home_for_sale,7,3,1980,New_York,Richmond_County,0
House_for_sale,4,2,1701,New_York,Kings_County,0
Co_op_for_sale,3,1,1100,Kings_County,Brooklyn,0
Multi_family_home_for_sale,6,5,2640,New_York,Richmond_County,1
Co_op_for_sale,2,2,900,Queens_County,Queens,0
Co_op_for_sale,2,2,1200,Bronx_County,The_Bronx,0
House_for_sale,8,6,9000,New_York,Bronx_County,1
House_for_sale,3,2,2350,New_York,Kings_County,0
Condo_for_sale,7,8,8139,New_York_County,New_York,1
House_for_sale,3,1,1148,New_York,Queens_County,0
Multi_family_home_for_sale,3,2,1700,New_York,Bronx_County,0
Co_op_for_sale,2,1,900,Richmond_County,Staten_Island,0
House_for_sale,3,3,1780,New_York,Bronx_County,0
House_for_sale,5,3,1273,New_York,Queens_County,0
Condo_for_sale,3,3,2753,New_York_County,New_York,1
Co_op_for_sale,2,1,825,Kings_County,Brooklyn,0
Pending,8,5,6312,New_York,Kings_County,1
Townhouse_for_sale,4,2,2264,New_York,Kings_County,1
House_for_sale,3,2,1404,New_York,Kings_County,0
Foreclosure,4,2,2318,New_York,Bronx_County,0
Multi_family_home_for_sale,12,8,5100,New_York,Kings_County,1
Condo_for_sale,2,2,833,Queens_County,Queens,0
House_for_sale,4,4,2700,New_York,Queens_County,0
Co_op_for_sale,1,1,1470,Queens_County,Queens,0
House_for_sale,3,2,1620,New_York,Bronx_County,0
Condo_for_sale,3,2,1278,New_York,Queens_County,0
Condo_for_sale,3,2,1890,New_York,Richmond_County,0
House_for_sale,3,3,1200,New_York,Kings_County,0
House_for_sale,3,2,2046,New_York,Queens_County,1
Co_op_for_sale,4,4,2500,New_York,Queens_County,1
Condo_for_sale,3,2,1286,Richmond_County,Staten_Island,0
Co_op_for_sale,2,2,1350,Bronx_County,The_Bronx,0
Multi_family_home_for_sale,14,8,6000,New_York,Bronx_County,1
Townhouse_for_sale,3,4,2400,New_York,New_York_County,1
Co_op_for_sale,2,2,1200,Queens_County,Queens,0
House_for_sale,3,1,1400,New_York,Richmond_County,0
House_for_sale,3,2,1520,New_York,Queens_County,0
